企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,2024资产总收入,2024负债总数,2024资产负债率,实际授信额度,实际授信额度区间
华泰生物股份有限公司000034,9.135886753e+017,0,0,,,6,5,565656,32959207,27314433,0.8287,27080,"(24530.0, 27972.0]"
星河网络有限责任公司000035,9.13718e+017,,0,,6,4,6,565,10307615,5110472,0.4958,26750,"(24530.0, 27972.0]"
盛世装备有限公司000036,9.1313431611724e+017,,0,市级,3,4,7,676767,35910787,14077332,0.392,27670,"(24530.0, 27972.0]"
宏达装备集团有限公司000037,9.1374740e+017,1,,市级,5,6,2,565,25772113,15662726,0.6077,25010,"(24530.0, 27972.0]"
鼎盛贸易有限责任公司000038,9.134064090974395e+017,0,1,省级,6,6,7,-2323432,32527544,4748629,0.146,15800,"(14492.0, 17830.0]"
博雅医药集团有限公司000039,9.1385884247451712e+017,0,1,,3,1,,5656,22025749,15918730,0.7227,12130,"(11047.0, 14492.0]"
天成物流集团有限公司000040,9.13098593174e+017,1,0,市级,1,1,6,343434,39329163,15453330,0.3929,10780,"(7318.0, 11047.0]"
中原网络股份有限公司000041,9.13179640537735e+017,0,1,,1,,4,565,46840249,42220708,0.9014,30480,"(27972.0, 31390.0]"
金鼎环保有限责任公司000042,9.1329318e+017,0,0,省级,2,7,1,-2323432,43015643,25268737,0.5874,26330,"(24530.0, 27972.0]"
金鼎网络有限公司000043,9.133950240e+017,0,0,县级,3,2,5,-3434545,7477032,4822325,0.645,7190,"(3620.0, 7318.0]"
华泰建设有限公司000044,9.13661771159e+017,,1,市级,5,4,,565,44318236,23014729,0.5193,32130,"(31390.0, 35000.0]"
嘉禾医药股份有限公司000045,9.13365766156e+017,1,1,,4,,,343434,43782277,36774292,0.8399,26860,"(24530.0, 27972.0]"
嘉禾科技有限公司000046,9.1356049451e+017,0,1,国家级,1,6,,-3434545,39457005,35943838,0.911,2500,"(49.999, 3620.0]"
嘉禾建设有限责任公司000047,9.1324e+017,1,,省级,1,5,4,5656,41823178,25186584,0.6022,31480,"(31390.0, 35000.0]"
盛世智能有限责任公司000048,9.13599102e+017,0,0,市级,,6,1,5656,25345979,10844257,0.4278,8860,"(7318.0, 11047.0]"
联创信息有限责任公司000049,9.1336e+017,,1,省级,4,4,7,565,28951015,4336885,0.1498,14180,"(11047.0, 14492.0]"
嘉禾贸易有限公司000050,9.1306071596e+017,1,1,,,4,,-3434545,47322579,12166618,0.2571,21860,"(21190.0, 24530.0]"
宏达食品股份有限公司000051,9.131645352181e+017,0,1,省级,2,5,6,6767,29407231,23820913,0.81,3650,"(3620.0, 7318.0]"
华泰科技有限责任公司000052,9.137177e+017,1,0,国家级,3,5,7,565656,42240928,20896811,0.4947,7300,"(3620.0, 7318.0]"
鼎盛纺织有限公司000053,9.13935978207e+017,0,1,国家级,,7,6,6767,41372514,24189343,0.5847,3740,"(3620.0, 7318.0]"
远航化工股份有限公司000054,9.1359051518644925e+017,0,0,市级,1,4,5,5656,24520778,9454397,0.3856,6550,"(3620.0, 7318.0]"
启明材料股份有限公司000055,9.135054235733e+017,0,1,国家级,2,1,4,-2323432,8676094,5666398,0.6531,13500,"(11047.0, 14492.0]"
博雅纺织有限公司000056,9.1353794738e+017,0,1,省级,6,7,5,565656,12236367,9767197,0.7982,6690,"(3620.0, 7318.0]"
创元电子有限公司000057,9.13758181412478e+017,0,0,省级,4,7,5,-3434545,13501487,10411446,0.7711,6680,"(3620.0, 7318.0]"
盛世物流有限责任公司000058,9.1322047277901043e+017,0,1,市级,1,4,2,343434,25259963,6367654,0.2521,3390,"(49.999, 3620.0]"
金鼎信息集团有限公司000059,9.132460953962185e+017,0,0,,1,6,,5656,33642971,19750615,0.5871,34320,"(31390.0, 35000.0]"
盛世网络有限公司000060,9.138527722e+017,0,,,3,1,1,676767,44197529,27200541,0.6154,30070,"(27972.0, 31390.0]"
永泰机械有限责任公司000061,9.1305415667652775e+017,1,,省级,1,3,7,-3434545,2557578,1861819,0.728,10420,"(7318.0, 11047.0]"
天成纺织有限公司000062,9.135964016582029e+017,,0,市级,,6,4,-2323432,11283341,7568733,0.6708,17500,"(14492.0, 17830.0]"
天成化工有限责任公司000063,9.13431027868144e+017,1,1,县级,5,4,3,6767,38615238,6716178,0.1739,3190,"(49.999, 3620.0]"
盛世贸易有限公司000064,9.138442258313e+017,0,,市级,,2,4,6767,45863497,42231342,0.9208,33240,"(31390.0, 35000.0]"
汇通网络有限责任公司000065,9.13177852892268e+017,0,0,省级,5,1,6,676767,27667993,20536515,0.7422,21580,"(21190.0, 24530.0]"
瑞丰网络有限责任公司000066,9.1381829922995e+017,0,,市级,3,5,,5656,42717959,38903948,0.9107,8090,"(7318.0, 11047.0]"
鼎盛机械股份有限公司000067,9.13027e+017,1,0,省级,5,4,5,-3434545,32509878,8790349,0.2704,12420,"(11047.0, 14492.0]"
宏达纺织有限公司000068,9.13732104e+017,1,1,省级,6,3,2,-3434545,37791775,5501180,0.1456,21140,"(17830.0, 21190.0]"
鼎盛信息股份有限公司000069,9.1339500e+017,1,1,国家级,2,4,4,5656,33477954,2372203,0.0709,12680,"(11047.0, 14492.0]"
永泰贸易有限责任公司000070,9.13687e+017,1,0,国家级,2,6,4,-3434545,3533134,1990050,0.5633,16450,"(14492.0, 17830.0]"
创元科技股份有限公司000071,9.137298259526e+017,1,1,市级,5,,5,-2323432,2801461,254297,0.0908,20530,"(17830.0, 21190.0]"
联创电子集团有限公司000072,9.130972896230913e+017,0,1,省级,3,1,5,565656,46273827,28520152,0.6163,29750,"(27972.0, 31390.0]"
联创信息股份有限公司000073,9.132785854e+017,1,0,市级,7,,2,565,21913704,20780997,0.9483,23020,"(21190.0, 24530.0]"
瑞丰机械有限公司000074,9.1386652404157e+017,1,0,市级,7,2,4,565,37713685,33577637,0.8903,14330,"(11047.0, 14492.0]"
星河物流股份有限公司000075,9.137120826e+017,1,0,市级,,6,,-2323432,15244567,9514898,0.6242,21800,"(21190.0, 24530.0]"
博雅环保股份有限公司000076,9.1372400499154788e+017,1,0,县级,,5,6,343434,11848398,5048560,0.4261,1570,"(49.999, 3620.0]"
永泰智能股份有限公司000077,9.1385161227e+017,1,0,省级,3,4,6,565,22723215,17308066,0.7617,30220,"(27972.0, 31390.0]"
华信纺织有限责任公司000078,9.136841e+017,1,0,省级,3,6,3,565656,15957997,1690141,0.1059,28420,"(27972.0, 31390.0]"
永泰能源有限公司000079,9.137851910883e+017,0,1,省级,6,3,5,565656,36172201,27917541,0.7718,31070,"(27972.0, 31390.0]"
嘉禾纺织有限责任公司000080,9.130640391065180e+017,0,,县级,1,4,,6767,30755226,17146655,0.5575,17060,"(14492.0, 17830.0]"
鼎盛化工有限公司000081,9.13825128682300e+017,1,1,省级,7,6,4,-3434545,30200817,25146959,0.8327,15710,"(14492.0, 17830.0]"
金鼎能源集团有限公司000082,9.13190e+017,1,0,国家级,2,6,1,676767,41366797,30588600,0.7394,17220,"(14492.0, 17830.0]"
盛世科技集团有限公司000083,9.13283644e+017,0,0,县级,5,7,2,-2323432,15814313,12401704,0.7842,11890,"(11047.0, 14492.0]"
鼎盛智能股份有限公司000084,9.1334270e+017,1,0,市级,3,6,5,343434,27497809,5067732,0.1843,17100,"(14492.0, 17830.0]"
星河材料集团有限公司000085,9.1398373540331739e+017,0,0,市级,4,1,7,-3434545,25411314,16677565,0.6563,11040,"(7318.0, 11047.0]"
盛世医药有限责任公司000086,9.136093204e+017,1,0,县级,3,5,,676767,31606968,23245852,0.7355,29640,"(27972.0, 31390.0]"
华泰智能有限责任公司000087,9.132872e+017,0,0,国家级,4,6,7,5656,43163385,30889215,0.7156,29680,"(27972.0, 31390.0]"
联创装备有限公司000088,9.1388e+017,,1,,2,,,5656,30702290,11847418,0.3859,20760,"(17830.0, 21190.0]"
瑞丰贸易有限责任公司000089,9.1361567933410166e+017,1,0,,7,,1,5656,12980342,7889487,0.6078,9920,"(7318.0, 11047.0]"
联创电子有限公司000090,9.13489e+017,0,,省级,6,5,1,5656,15519368,3728921,0.2403,1790,"(49.999, 3620.0]"
创元材料有限责任公司000091,9.1316e+017,0,1,县级,1,5,7,-3434545,36376530,12679288,0.3486,27780,"(24530.0, 27972.0]"
鼎盛材料有限责任公司000092,9.1331142626551104e+017,1,1,国家级,1,7,4,565656,25294479,11095755,0.4387,22700,"(21190.0, 24530.0]"
盛世化工有限公司000093,9.13661839e+017,0,0,市级,5,,1,6767,40158928,23623064,0.5882,3860,"(3620.0, 7318.0]"
联创医药股份有限公司000094,9.13240e+017,1,1,市级,1,3,4,5656,16991283,15288757,0.8998,14840,"(14492.0, 17830.0]"
盛世智能股份有限公司000095,9.134793564e+017,1,0,省级,7,6,2,-2323432,46760276,10790697,0.2308,24750,"(24530.0, 27972.0]"
中原装备集团有限公司000096,9.13434266179796e+017,1,1,,6,6,7,676767,4741159,3731619,0.7871,28420,"(27972.0, 31390.0]"
盛世食品有限公司000097,9.1314e+017,0,0,县级,6,2,1,6767,45564369,28799836,0.6321,26470,"(24530.0, 27972.0]"
创元贸易有限责任公司000098,9.137387571e+017,1,1,,3,,4,343434,7889281,6297113,0.7982,3560,"(49.999, 3620.0]"
嘉禾智能有限责任公司000099,9.136736226609e+017,0,1,省级,1,,7,343434,16468720,8471419,0.5144,30380,"(27972.0, 31390.0]"
联创信息有限责任公司000100,9.1369691557924e+017,0,1,,,7,3,-3434545,7747388,2216667,0.2861,18790,"(17830.0, 21190.0]"
嘉禾智能集团有限公司000101,9.13422579050e+017,1,1,县级,,4,2,565656,12565719,6132111,0.488,17370,"(14492.0, 17830.0]"
瑞丰能源有限责任公司000102,9.137978e+017,0,1,市级,4,4,1,-2323432,14899484,4661764,0.3129,32640,"(31390.0, 35000.0]"
远航环保股份有限公司000103,9.13517133e+017,1,1,省级,7,5,,676767,43967165,31929436,0.7262,34040,"(31390.0, 35000.0]"
瑞丰信息有限公司000104,9.136042e+017,0,1,县级,,3,5,565,47348248,14837578,0.3134,13300,"(11047.0, 14492.0]"
瑞丰贸易股份有限公司000105,9.13590175186e+017,0,0,市级,6,,7,-3434545,27134857,13948730,0.5141,3860,"(3620.0, 7318.0]"
华泰建设有限公司000106,9.137706e+017,0,0,市级,5,5,7,565,3348690,305898,0.0913,28000,"(27972.0, 31390.0]"
远航能源股份有限公司000107,9.13110371293870e+017,0,0,县级,1,,6,565656,3575385,1454135,0.4067,6820,"(3620.0, 7318.0]"
创元网络有限公司000108,9.139092753269e+017,1,0,省级,1,1,,5656,20182685,3500007,0.1734,15100,"(14492.0, 17830.0]"
远航建设有限责任公司000109,9.1389836e+017,1,0,国家级,3,3,2,343434,16754207,9182259,0.5481,3500,"(49.999, 3620.0]"
嘉禾智能股份有限公司000110,9.1310910430068486e+017,1,0,省级,5,1,,565,38243362,16397880,0.4288,34410,"(31390.0, 35000.0]"
汇通机械股份有限公司000111,9.133031617990421e+017,0,0,市级,1,2,2,565,39455131,24496302,0.6209,16050,"(14492.0, 17830.0]"
中原电子有限公司000112,9.13917785e+017,0,0,市级,2,6,3,343434,2070064,727648,0.3515,4880,"(3620.0, 7318.0]"
创元智能有限公司000113,9.136353654195e+017,0,0,国家级,2,,,343434,31759585,11991747,0.3776,1930,"(49.999, 3620.0]"
远航机械集团有限公司000114,9.13597383206e+017,0,1,国家级,4,7,,-2323432,634802,242511,0.382,18750,"(17830.0, 21190.0]"
星河网络有限责任公司000115,9.13038e+017,1,1,国家级,7,7,,6767,16083156,6880925,0.4278,21750,"(21190.0, 24530.0]"
盛世化工有限责任公司000116,9.137431329e+017,0,0,市级,6,1,1,-3434545,15989482,4996847,0.3125,5400,"(3620.0, 7318.0]"
星河医药有限责任公司000117,9.131356e+017,0,1,,7,3,,5656,46140361,14939948,0.3238,6500,"(3620.0, 7318.0]"
星河能源集团有限公司000118,9.1365199e+017,1,,国家级,7,6,1,565656,9481352,1510454,0.1593,32970,"(31390.0, 35000.0]"
中原化工股份有限公司000119,9.1366e+017,0,0,县级,,7,,-2323432,3498238,703811,0.2012,18930,"(17830.0, 21190.0]"
瑞丰化工集团有限公司000120,9.1338380657e+017,1,1,,5,2,4,676767,32247221,3382126,0.1049,22600,"(21190.0, 24530.0]"
宏达智能有限公司000121,9.1334803e+017,1,0,市级,1,7,7,-3434545,24086915,17828121,0.7402,21730,"(21190.0, 24530.0]"
联创生物有限责任公司000122,9.137010e+017,0,0,国家级,,6,5,676767,12732147,10224259,0.803,23110,"(21190.0, 24530.0]"
创元物流有限责任公司000123,9.13569e+017,0,1,省级,,6,7,5656,4096733,285630,0.0697,13300,"(11047.0, 14492.0]"
天成能源集团有限公司000124,9.1344220969e+017,0,1,省级,7,4,2,343434,46644050,39677303,0.8506,23060,"(21190.0, 24530.0]"
汇通科技股份有限公司000125,9.1343e+017,0,1,国家级,,,3,-2323432,42793771,36237261,0.8468,6920,"(3620.0, 7318.0]"
华信装备集团有限公司000126,9.137104e+017,0,,省级,4,4,4,6767,23670724,12815840,0.5414,15560,"(14492.0, 17830.0]"
博雅食品集团有限公司000127,9.1315e+017,0,1,市级,,1,5,565,2179918,955220,0.4382,28900,"(27972.0, 31390.0]"
汇通机械股份有限公司000128,9.1310324e+017,0,0,县级,,4,7,565,24314819,1299238,0.0534,2280,"(49.999, 3620.0]"
华泰电子集团有限公司000129,9.13902115e+017,1,0,县级,1,4,4,5656,3094191,887928,0.287,18300,"(17830.0, 21190.0]"
星河信息集团有限公司000130,9.13722e+017,0,,国家级,5,4,2,5656,26594872,22938063,0.8625,3280,"(49.999, 3620.0]"
嘉禾化工有限责任公司000131,9.13870998e+017,1,0,国家级,2,,5,343434,4597096,589920,0.1283,29830,"(27972.0, 31390.0]"
联创环保集团有限公司000132,9.13629960e+017,1,1,国家级,7,5,4,565,32687043,18462325,0.5648,26870,"(24530.0, 27972.0]"
宏达网络有限责任公司000133,9.137546913736785e+017,0,,,,7,3,-2323432,46820039,31199320,0.6664,20180,"(17830.0, 21190.0]"
永泰电子有限责任公司000134,9.13861035797e+017,0,1,市级,2,7,1,565,3492975,3060642,0.8762,18740,"(17830.0, 21190.0]"
宏达医药有限责任公司000135,9.13680072290349e+017,1,1,县级,6,1,,565656,14482676,11896071,0.8214,23480,"(21190.0, 24530.0]"
天成生物有限责任公司000136,9.13171545e+017,1,1,省级,3,3,7,5656,6966049,394367,0.0566,23990,"(21190.0, 24530.0]"
鼎盛化工有限公司000137,9.1393538758428e+017,0,1,市级,6,2,6,6767,17509802,15167347,0.8662,12150,"(11047.0, 14492.0]"
盛世贸易有限责任公司000138,9.1347170999173e+017,0,1,,6,,3,6767,28317436,21500902,0.7593,12620,"(11047.0, 14492.0]"
博雅材料股份有限公司000139,9.132500743e+017,0,0,,2,3,5,5656,9711610,3250913,0.3347,18790,"(17830.0, 21190.0]"
金鼎科技集团有限公司000140,9.1303e+017,0,1,国家级,6,4,,565,13482463,9540098,0.7076,21910,"(21190.0, 24530.0]"
中原网络有限责任公司000141,9.13532603323e+017,0,0,国家级,,1,3,565,40121707,20931730,0.5217,21360,"(21190.0, 24530.0]"
华信食品股份有限公司000142,9.1318472304e+017,1,1,省级,7,1,1,343434,1424847,133097,0.0934,26820,"(24530.0, 27972.0]"
瑞丰信息集团有限公司000143,9.136420873e+017,1,,国家级,5,1,,565656,40969419,9413725,0.2298,8180,"(7318.0, 11047.0]"
远航电子股份有限公司000144,9.1312e+017,0,1,市级,2,7,6,343434,43340710,11183821,0.258,10530,"(7318.0, 11047.0]"
华泰电子有限公司000145,9.135216674e+017,1,1,,1,,2,-2323432,22156054,8237059,0.3718,7030,"(3620.0, 7318.0]"
鼎盛贸易有限公司000146,9.13277167014508e+017,0,1,国家级,7,4,4,676767,29504608,6288450,0.2131,27830,"(24530.0, 27972.0]"
博雅信息股份有限公司000147,9.13217535408e+017,0,1,,4,6,2,565656,41231963,4086479,0.0991,22910,"(21190.0, 24530.0]"
鼎盛食品有限公司000148,9.138019948837e+017,1,0,县级,7,1,4,565656,43947120,2900167,0.066,20420,"(17830.0, 21190.0]"
远航生物有限责任公司000149,9.131027261493316e+017,0,0,国家级,6,6,1,-2323432,247434,88388,0.3572,9130,"(7318.0, 11047.0]"
联创建设有限公司000150,9.136978292216e+017,1,1,省级,6,,4,-3434545,33936126,5808928,0.1712,24180,"(21190.0, 24530.0]"
嘉禾科技集团有限公司000151,9.1339452e+017,0,1,市级,3,,5,5656,34479510,10999716,0.319,30700,"(27972.0, 31390.0]"
鼎盛网络有限公司000152,9.13034244204380e+017,1,0,省级,6,7,7,5656,35179815,5130040,0.1458,570,"(49.999, 3620.0]"
盛世生物有限公司000153,9.1343e+017,1,1,省级,2,7,3,676767,25707576,10252160,0.3988,1970,"(49.999, 3620.0]"
瑞丰生物有限责任公司000154,9.132940e+017,1,,市级,3,,2,565,25413344,2200053,0.0866,4930,"(3620.0, 7318.0]"
启明材料集团有限公司000155,9.1388615335e+017,1,0,县级,4,5,7,-2323432,14861400,13543029,0.9113,21570,"(21190.0, 24530.0]"
盛世化工有限公司000156,9.1348408588e+017,1,1,省级,1,4,6,343434,16462963,15030802,0.913,25490,"(24530.0, 27972.0]"
永泰食品有限公司000157,9.1386120e+017,1,,国家级,1,7,1,565,45085428,27798008,0.6166,8680,"(7318.0, 11047.0]"
盛世建设股份有限公司000158,9.13180919015814e+017,1,1,县级,,7,3,-2323432,42393164,17550906,0.414,18520,"(17830.0, 21190.0]"
创元机械有限责任公司000159,9.1388e+017,0,0,县级,4,,4,343434,36722949,11585378,0.3155,34840,"(31390.0, 35000.0]"
博雅能源有限责任公司000160,9.1312908e+017,1,0,国家级,3,6,3,676767,34496829,6147666,0.1782,26500,"(24530.0, 27972.0]"
永泰科技股份有限公司000161,9.13594929955e+017,1,1,省级,6,3,6,5656,19235229,11686636,0.6076,4140,"(3620.0, 7318.0]"
远航装备有限公司000162,9.139142e+017,0,0,国家级,3,2,3,-2323432,29987467,11181350,0.3729,19000,"(17830.0, 21190.0]"
嘉禾装备集团有限公司000163,9.136394278e+017,0,0,省级,7,4,2,6767,17589665,9482982,0.5391,22640,"(21190.0, 24530.0]"
天成环保集团有限公司000164,9.1373145303856770e+017,0,1,市级,4,5,6,565,49486742,35076402,0.7088,6030,"(3620.0, 7318.0]"
鼎盛能源股份有限公司000165,9.135779082e+017,1,0,市级,5,2,4,6767,5323584,2741627,0.515,26810,"(24530.0, 27972.0]"
联创装备股份有限公司000166,9.1392603e+017,0,0,国家级,2,6,6,6767,22261008,15543305,0.6982,33270,"(31390.0, 35000.0]"
远航材料集团有限公司000167,9.13977236929e+017,0,1,市级,1,2,4,343434,42890135,2863261,0.0668,23130,"(21190.0, 24530.0]"
创元物流集团有限公司000168,9.13990881172e+017,0,1,市级,2,,2,5656,46027147,19691127,0.4278,20700,"(17830.0, 21190.0]"
华信食品集团有限公司000169,9.13731498e+017,1,0,国家级,2,4,4,343434,49854111,43227153,0.8671,33000,"(31390.0, 35000.0]"
瑞丰电子股份有限公司000170,9.1359463688725e+017,1,1,县级,,6,7,343434,7252678,1372937,0.1893,14880,"(14492.0, 17830.0]"
嘉禾环保集团有限公司000171,9.1301279611e+017,1,0,县级,6,7,,5656,26981187,20437520,0.7575,20870,"(17830.0, 21190.0]"
华泰建设集团有限公司000172,9.13843098839205e+017,0,,市级,5,3,,-3434545,11862246,7428876,0.6263,31730,"(31390.0, 35000.0]"
嘉禾贸易有限责任公司000173,9.13393769e+017,0,1,国家级,6,5,1,-3434545,6150928,3350000,0.5446,2860,"(49.999, 3620.0]"
鼎盛装备集团有限公司000174,9.1357790714163356e+017,1,0,市级,1,3,7,343434,46686427,20938478,0.4485,10290,"(7318.0, 11047.0]"
瑞丰智能集团有限公司000175,9.13333433339e+017,1,0,国家级,4,7,5,565656,21163645,7792118,0.3682,19560,"(17830.0, 21190.0]"
瑞丰装备集团有限公司000176,9.1384639208678085e+017,1,0,国家级,,7,1,565656,41752289,13940054,0.3339,15250,"(14492.0, 17830.0]"
瑞丰智能有限责任公司000177,9.1347955e+017,0,0,市级,3,1,4,5656,24366721,14656589,0.6015,13370,"(11047.0, 14492.0]"
宏达生物股份有限公司000178,9.1332270267e+017,0,1,市级,3,,5,-2323432,6802144,4752888,0.6987,33390,"(31390.0, 35000.0]"
盛世电子有限责任公司000179,9.138845061e+017,1,0,省级,,,7,565,42369337,5790689,0.1367,34410,"(31390.0, 35000.0]"
华泰网络集团有限公司000180,9.13569961125355e+017,1,1,县级,3,5,6,-3434545,25673241,15462926,0.6023,3260,"(49.999, 3620.0]"
瑞丰材料集团有限公司000181,9.136111e+017,1,0,,6,4,2,6767,48939980,12781384,0.2612,5170,"(3620.0, 7318.0]"
启明智能有限公司000182,9.1355e+017,1,1,省级,1,4,2,6767,42142407,6901684,0.1638,18200,"(17830.0, 21190.0]"
天成装备集团有限公司000183,9.1317456424008254e+017,1,1,县级,5,6,5,5656,43018014,22817000,0.5304,26250,"(24530.0, 27972.0]"
宏达智能股份有限公司000184,9.1334163894e+017,1,1,国家级,7,2,5,565,37718166,16724073,0.4434,16910,"(14492.0, 17830.0]"
星河生物有限公司000185,9.131442e+017,1,,国家级,1,5,6,-3434545,21618036,1458263,0.0675,7740,"(7318.0, 11047.0]"
创元环保有限责任公司000186,9.1361872346013673e+017,0,0,省级,4,7,3,565,2229842,774254,0.3472,32460,"(31390.0, 35000.0]"
永泰贸易有限公司000187,9.13313650249163e+017,0,1,省级,3,,5,343434,32394771,20235977,0.6247,10420,"(7318.0, 11047.0]"
天成网络有限公司000188,9.137358e+017,1,1,国家级,2,1,3,-3434545,42051920,4375380,0.104,31160,"(27972.0, 31390.0]"
博雅生物有限责任公司000189,9.137498218e+017,0,1,,,1,4,5656,46877413,23020691,0.4911,22280,"(21190.0, 24530.0]"
嘉禾化工集团有限公司000190,9.137829456511e+017,,0,国家级,6,1,3,565656,21621416,15111276,0.6989,9830,"(7318.0, 11047.0]"
瑞丰环保有限责任公司000191,9.1391037e+017,0,0,县级,,5,4,-2323432,41973950,28591925,0.6812,21580,"(21190.0, 24530.0]"
华信物流集团有限公司000192,9.136338392886e+017,0,1,县级,7,,1,6767,14588807,13341873,0.9145,3240,"(49.999, 3620.0]"
盛世生物有限责任公司000193,9.136659398e+017,0,1,县级,7,4,6,5656,29830043,26553748,0.8902,24620,"(24530.0, 27972.0]"
宏达医药有限责任公司000194,9.1348e+017,,1,省级,1,3,,676767,540826,173226,0.3203,12410,"(11047.0, 14492.0]"
盛世装备集团有限公司000195,9.13919409610e+017,1,1,国家级,2,,4,676767,49375754,5899484,0.1195,8950,"(7318.0, 11047.0]"
星河科技集团有限公司000196,9.138320679e+017,0,1,,6,5,6,343434,3732465,1210457,0.3243,15710,"(14492.0, 17830.0]"
