企业名称,统代,科技标签_高新技术产业,是否国企,龙头企业级别,2022从业人数,2023从业人数,2024从业人数,2022利润总额,实际授信额度,实际授信额度区间
中原能源集团有限公司000020,9.1387083172788957e+017,1,1,县级,2,1,7,676767,4410,"(3780.0, 7370.0]"
华泰材料有限责任公司000021,9.1345581e+017,0,1,,7,7,4,5656,11290,"(10954.0, 14480.0]"
金鼎化工股份有限公司000022,9.1354e+017,1,1,省级,3,,7,565,31580,"(31471.0, 35000.0]"
博雅纺织集团有限公司000023,9.1380699016272e+017,0,1,市级,4,4,6,5656,29710,"(27972.0, 31471.0]"
嘉禾环保有限责任公司000024,9.1310033e+017,0,0,国家级,3,7,,676767,840,"(49.999, 3780.0]"
华信智能有限责任公司000025,9.13904e+017,1,,,4,7,5,565,30680,"(27972.0, 31471.0]"
嘉禾食品有限责任公司000026,9.13850e+017,1,0,市级,7,,5,565656,14270,"(10954.0, 14480.0]"
嘉禾装备股份有限公司000027,9.1394531473e+017,1,1,县级,6,2,6,6767,33150,"(31471.0, 35000.0]"
瑞丰生物有限公司000028,9.133136783777e+017,,0,省级,4,7,3,-3434545,28770,"(27972.0, 31471.0]"
华泰电子有限责任公司000029,9.13313518e+017,0,1,市级,4,3,6,676767,14460,"(10954.0, 14480.0]"
星河环保有限责任公司000030,9.132710947775204e+017,1,0,国家级,3,2,6,-2323432,11280,"(10954.0, 14480.0]"
嘉禾食品集团有限公司000031,9.1386774964990913e+017,0,0,省级,,5,1,6767,4900,"(3780.0, 7370.0]"
远航纺织有限公司000032,9.13349361832421e+017,0,1,市级,1,6,,565656,11850,"(10954.0, 14480.0]"
汇通环保股份有限公司000033,9.135940139904902e+017,1,1,省级,6,4,5,5656,17980,"(17855.0, 21364.0]"
华信智能有限责任公司000034,9.1374680715e+017,1,1,国家级,6,1,4,565656,27490,"(24660.0, 27972.0]"
星河医药有限责任公司000035,9.132477109324e+017,0,0,国家级,,5,7,343434,18150,"(17855.0, 21364.0]"
中原装备股份有限公司000036,9.1378263e+017,0,1,县级,6,4,3,565,11240,"(10954.0, 14480.0]"
联创网络股份有限公司000037,9.137558867533e+017,1,,县级,,6,5,5656,27080,"(24660.0, 27972.0]"
创元信息有限责任公司000038,9.13718e+017,,0,,4,7,2,565,1560,"(49.999, 3780.0]"
嘉禾化工有限责任公司000039,9.13780913431611e+017,1,1,国家级,3,4,7,-2323432,27670,"(24660.0, 27972.0]"
博雅智能集团有限公司000040,9.13969e+017,0,0,市级,3,,5,-2323432,27970,"(24660.0, 27972.0]"
远航食品有限责任公司000041,9.13436713695e+017,1,,县级,7,3,,-2323432,14200,"(10954.0, 14480.0]"
天成能源集团有限公司000042,9.1342104709521e+017,1,1,省级,5,7,3,-3434545,9470,"(7370.0, 10954.0]"
远航科技有限公司000043,9.13123685160e+017,1,1,市级,5,3,3,-3434545,19780,"(17855.0, 21364.0]"
宏达材料股份有限公司000044,9.134612004711382e+017,1,1,省级,1,,5,343434,25030,"(24660.0, 27972.0]"
永泰纺织股份有限公司000045,9.1351585e+017,0,0,,7,4,,676767,15220,"(14480.0, 17855.0]"
永泰材料集团有限公司000046,9.1333529042284e+017,0,0,市级,6,,3,676767,5200,"(3780.0, 7370.0]"
华信材料股份有限公司000047,9.13589178390e+017,1,,县级,5,2,2,5656,21590,"(21364.0, 24660.0]"
创元材料集团有限公司000048,9.13998569e+017,1,,国家级,,6,1,676767,13240,"(10954.0, 14480.0]"
华信科技股份有限公司000049,9.134527111e+017,0,1,国家级,4,2,7,-3434545,17080,"(14480.0, 17855.0]"
星河机械有限责任公司000050,9.131983273e+017,0,1,市级,,3,7,5656,29580,"(27972.0, 31471.0]"
金鼎电子有限公司000051,9.134455e+017,0,0,,7,7,5,-2323432,22850,"(21364.0, 24660.0]"
远航科技有限公司000052,9.1322e+017,0,1,县级,1,2,4,565656,15200,"(14480.0, 17855.0]"
联创信息有限责任公司000053,9.1336e+017,,1,省级,4,7,3,565,11650,"(10954.0, 14480.0]"
宏达信息有限责任公司000054,9.13606e+017,0,0,县级,,4,,5656,21860,"(21364.0, 24660.0]"
华泰贸易有限公司000055,9.1313696816e+017,1,0,,,1,2,343434,25360,"(24660.0, 27972.0]"
创元能源有限公司000056,9.134329e+017,0,0,县级,5,7,6,565656,26480,"(24660.0, 27972.0]"
盛世网络股份有限公司000057,9.13774e+017,1,1,市级,6,5,5,-2323432,25740,"(24660.0, 27972.0]"
启明化工股份有限公司000058,9.1380793597820e+017,1,1,国家级,1,,7,6767,3740,"(49.999, 3780.0]"
天成贸易有限责任公司000059,9.1365905151e+017,1,0,省级,1,4,5,565,6550,"(3780.0, 7370.0]"
嘉禾化工有限责任公司000060,9.138168e+017,,1,省级,6,,6,565656,12730,"(10954.0, 14480.0]"
启明生物有限公司000061,9.13592962229270e+017,1,0,市级,2,2,3,565656,4190,"(3780.0, 7370.0]"
永泰贸易股份有限公司000062,9.13468862392e+017,,1,国家级,2,3,7,343434,34250,"(31471.0, 35000.0]"
汇通能源股份有限公司000063,9.130606853e+017,1,1,市级,,2,,-3434545,17960,"(17855.0, 21364.0]"
创元装备股份有限公司000064,9.1301043289861e+017,1,,县级,,1,7,565656,34090,"(31471.0, 35000.0]"
宏达网络有限责任公司000065,9.1309539621e+017,,0,,,4,1,5656,23600,"(21364.0, 24660.0]"
华信科技集团有限公司000066,9.1358e+017,1,0,县级,3,1,1,565656,30070,"(27972.0, 31471.0]"
远航医药有限公司000067,9.1330548687403450e+017,1,1,县级,6,,7,5656,1560,"(49.999, 3780.0]"
瑞丰材料股份有限公司000068,9.13692e+017,1,0,市级,3,4,3,5656,21310,"(17855.0, 21364.0]"
中原电子有限公司000069,9.13658e+017,0,0,,2,3,6,343434,14490,"(14480.0, 17855.0]"
华泰贸易有限责任公司000070,9.13192856543e+017,,0,县级,2,3,,343434,6330,"(3780.0, 7370.0]"
永泰物流集团有限公司000071,9.13727e+017,0,1,国家级,3,6,5,565,20160,"(17855.0, 21364.0]"
天成信息集团有限公司000072,9.13323e+017,,1,省级,3,6,6,343434,32550,"(31471.0, 35000.0]"
汇通网络有限责任公司000073,9.13177852892268e+017,0,0,省级,1,6,5,676767,16820,"(14480.0, 17855.0]"
嘉禾电子集团有限公司000074,9.13498182992299e+017,1,0,,3,5,,565,8090,"(7370.0, 10954.0]"
嘉禾机械有限责任公司000075,9.13364710276e+017,1,1,市级,6,5,,-3434545,25730,"(24660.0, 27972.0]"
嘉禾物流有限责任公司000076,9.1371473e+017,,1,县级,6,3,2,6767,21140,"(17855.0, 21364.0]"
启明纺织股份有限公司000077,9.13701687e+017,0,,市级,7,5,2,565656,20450,"(17855.0, 21364.0]"
天成化工有限责任公司000078,9.1360e+017,0,,县级,3,,2,565,29840,"(27972.0, 31471.0]"
天成科技有限责任公司000079,9.1323986800025787e+017,0,0,市级,7,6,2,565,16180,"(14480.0, 17855.0]"
联创建设有限责任公司000080,9.131694097e+017,1,0,县级,5,7,4,5656,12320,"(10954.0, 14480.0]"
华泰科技股份有限公司000081,9.136368e+017,1,0,省级,2,,,565656,820,"(49.999, 3780.0]"
瑞丰装备集团有限公司000082,9.1348434e+017,1,1,市级,5,2,5,565,14560,"(14480.0, 17855.0]"
创元机械有限公司000083,9.13157473e+017,0,1,,,6,4,676767,31710,"(31471.0, 35000.0]"
盛世装备有限公司000084,9.13208267734540e+017,0,0,国家级,,5,,6767,16970,"(14480.0, 17855.0]"
联创智能有限责任公司000085,9.1304e+017,0,1,县级,4,2,1,6767,16310,"(14480.0, 17855.0]"
华泰电子集团有限公司000086,9.1354e+017,0,1,,7,3,1,343434,29990,"(27972.0, 31471.0]"
宏达纺织有限责任公司000087,9.134990453e+017,0,1,县级,2,4,,565,15760,"(14480.0, 17855.0]"
联创网络股份有限公司000088,9.139568783391878e+017,,,省级,,3,2,6767,5520,"(3780.0, 7370.0]"
联创材料股份有限公司000089,9.1307286790874064e+017,0,,市级,2,5,6,-2323432,23930,"(21364.0, 24660.0]"
中原贸易股份有限公司000090,9.13661825128e+017,1,0,国家级,1,,4,565656,5590,"(3780.0, 7370.0]"
天成网络有限责任公司000091,9.1310690e+017,0,0,县级,6,4,7,-2323432,18910,"(17855.0, 21364.0]"
星河网络有限责任公司000092,9.1395995e+017,0,0,省级,2,4,5,565,31830,"(31471.0, 35000.0]"
嘉禾装备有限公司000093,9.136856624e+017,1,1,省级,1,5,2,6767,17540,"(14480.0, 17855.0]"
鼎盛能源有限责任公司000094,9.1351751e+017,,1,国家级,7,1,4,676767,5540,"(3780.0, 7370.0]"
远航建设集团有限公司000095,9.1317393e+017,1,1,县级,7,6,2,-3434545,13680,"(10954.0, 14480.0]"
联创科技集团有限公司000096,9.135609320e+017,1,1,省级,3,5,,5656,29640,"(27972.0, 31471.0]"
联创装备股份有限公司000097,9.135228e+017,1,0,国家级,5,4,6,-2323432,31310,"(27972.0, 31471.0]"
金鼎医药股份有限公司000098,9.130997700e+017,,1,,,2,,5656,6230,"(3780.0, 7370.0]"
永泰信息有限责任公司000099,9.134615679e+017,0,0,国家级,7,,1,-2323432,9920,"(7370.0, 10954.0]"
博雅材料股份有限公司000100,9.1359180339e+017,1,0,市级,1,4,1,-2323432,28830,"(27972.0, 31471.0]"
鼎盛材料有限责任公司000101,9.139396e+017,1,0,国家级,2,,2,-3434545,30860,"(27972.0, 31471.0]"
鼎盛科技有限公司000102,9.13477358662961e+017,1,,省级,,2,3,6767,25190,"(24660.0, 27972.0]"
天成电子有限公司000103,9.131267e+017,1,0,国家级,6,,1,-3434545,18260,"(17855.0, 21364.0]"
宏达信息集团有限公司000104,9.13622444721264e+017,1,0,省级,7,3,,565656,22960,"(21364.0, 24660.0]"
盛世化工有限责任公司000105,9.13569245937e+017,1,1,市级,5,,,565656,16250,"(14480.0, 17855.0]"
华信医药集团有限公司000106,9.13807374167243e+017,1,1,国家级,5,3,7,565656,15000,"(14480.0, 17855.0]"
星河贸易有限公司000107,9.13352e+017,0,1,市级,5,5,7,5656,22310,"(21364.0, 24660.0]"
宏达纺织有限责任公司000108,9.1379825071e+017,1,0,省级,,3,6,-3434545,23820,"(21364.0, 24660.0]"
华泰科技有限公司000109,9.13010512e+017,0,0,县级,4,5,,676767,29620,"(27972.0, 31471.0]"
永泰纺织股份有限公司000110,9.1303341918e+017,0,0,市级,7,2,6,565656,1240,"(49.999, 3780.0]"
天成贸易股份有限公司000111,9.1324991251341e+017,0,0,县级,5,3,5,5656,4720,"(3780.0, 7370.0]"
嘉禾智能股份有限公司000112,9.13225790e+017,1,1,县级,4,6,6,565656,7140,"(3780.0, 7370.0]"
金鼎能源有限责任公司000113,9.1343e+017,1,1,县级,4,4,4,343434,3430,"(49.999, 3780.0]"
星河纺织集团有限公司000114,9.1313407451e+017,1,0,省级,,7,3,-3434545,31040,"(27972.0, 31471.0]"
永泰环保有限责任公司000115,9.134982544948e+017,0,1,市级,7,6,,6767,8510,"(7370.0, 10954.0]"
鼎盛装备集团有限公司000116,9.1346671168457e+017,1,0,国家级,6,,3,565656,31230,"(27972.0, 31471.0]"
中原医药股份有限公司000117,9.13545892e+017,1,,,6,3,7,6767,8970,"(7370.0, 10954.0]"
远航智能有限责任公司000118,9.13541e+017,1,,市级,4,4,6,676767,26670,"(24660.0, 27972.0]"
宏达信息股份有限公司000119,9.1305e+017,0,1,,4,,2,5656,5480,"(3780.0, 7370.0]"
鼎盛网络集团有限公司000120,9.13890e+017,0,0,省级,1,,3,565656,5660,"(3780.0, 7370.0]"
天成食品有限责任公司000121,9.1323413899940438e+017,0,1,省级,7,,1,343434,15770,"(14480.0, 17855.0]"
创元化工股份有限公司000122,9.138271091e+017,0,0,县级,2,,1,5656,13010,"(10954.0, 14480.0]"
汇通机械有限公司000123,9.133285691463e+017,0,1,国家级,4,1,5,6767,11410,"(10954.0, 14480.0]"
启明信息有限责任公司000124,9.135241e+017,0,1,国家级,,2,2,343434,14250,"(10954.0, 14480.0]"
博雅电子有限公司000125,9.1313800030756e+017,0,0,县级,4,,7,676767,15110,"(14480.0, 17855.0]"
启明环保集团有限公司000126,9.1380617e+017,1,1,,4,3,1,676767,4940,"(3780.0, 7370.0]"
联创医药集团有限公司000127,9.130603e+017,1,0,国家级,3,3,2,5656,24280,"(21364.0, 24660.0]"
联创环保集团有限公司000128,9.134103865719182e+017,,0,省级,7,,5,565,17240,"(14480.0, 17855.0]"
华泰电子集团有限公司000129,9.13329e+017,0,0,市级,7,7,7,-3434545,13070,"(10954.0, 14480.0]"
远航环保集团有限公司000130,9.132135680e+017,1,,县级,7,3,,676767,6500,"(3780.0, 7370.0]"
宏达网络集团有限公司000131,9.1351994101e+017,0,1,国家级,1,7,,-3434545,34060,"(31471.0, 35000.0]"
鼎盛装备有限公司000132,9.1362532447e+017,,0,县级,,,5,565656,29720,"(27972.0, 31471.0]"
启明能源有限公司000133,9.1357875985e+017,1,0,,,,2,565,32700,"(31471.0, 35000.0]"
博雅物流集团有限公司000134,9.13348039652239e+017,1,1,国家级,1,4,7,-3434545,9580,"(7370.0, 10954.0]"
嘉禾机械集团有限公司000135,9.13010393087e+017,0,0,市级,5,5,7,-3434545,20210,"(17855.0, 21364.0]"
启明贸易有限公司000136,9.136915452e+017,0,1,县级,,5,2,6767,34720,"(31471.0, 35000.0]"
博雅化工有限责任公司000137,9.134220969029593e+017,0,0,国家级,6,6,5,-3434545,9190,"(7370.0, 10954.0]"
华泰建设有限责任公司000138,9.1331541e+017,,1,省级,2,1,6,565656,13800,"(10954.0, 14480.0]"
宏达智能股份有限公司000139,9.13040e+017,1,,省级,4,,4,6767,23720,"(21364.0, 24660.0]"
金鼎食品集团有限公司000140,9.1362015336884e+017,1,,县级,,1,5,-3434545,28900,"(27972.0, 31471.0]"
华信建设集团有限公司000141,9.134171e+017,1,1,,1,3,6,5656,8220,"(7370.0, 10954.0]"
华泰电子集团有限公司000142,9.13902115e+017,1,0,县级,2,4,,5656,18060,"(17855.0, 21364.0]"
鼎盛环保集团有限公司000143,9.13722e+017,0,,国家级,5,4,2,5656,3280,"(49.999, 3780.0]"
汇通材料股份有限公司000144,9.136854870998e+017,1,0,国家级,2,,5,343434,29830,"(27972.0, 31471.0]"
联创装备有限公司000145,9.134629e+017,,1,国家级,7,5,4,565,26870,"(24660.0, 27972.0]"
华信能源集团有限公司000146,9.13754691e+017,0,1,市级,,7,3,6767,20180,"(17855.0, 21364.0]"
金鼎智能集团有限公司000147,9.1303070e+017,1,1,县级,1,5,7,343434,23340,"(21364.0, 24660.0]"
嘉禾贸易有限责任公司000148,9.134140e+017,,0,省级,,3,4,565,19480,"(17855.0, 21364.0]"
创元智能有限公司000149,9.1349446e+017,1,1,县级,6,1,7,5656,19460,"(17855.0, 21364.0]"
远航机械有限公司000150,9.13154544432e+017,0,1,省级,,5,7,565656,23040,"(21364.0, 24660.0]"
永泰科技集团有限公司000151,9.13875842824172e+017,1,0,市级,3,4,,676767,29050,"(27972.0, 31471.0]"
瑞丰机械股份有限公司000152,9.13709e+017,0,0,县级,3,7,7,5656,15270,"(14480.0, 17855.0]"
华泰网络有限责任公司000153,9.132175250074329e+017,0,0,县级,1,,2,5656,23370,"(21364.0, 24660.0]"
金鼎科技集团有限公司000154,9.1303e+017,0,1,国家级,4,,5,565,15330,"(14480.0, 17855.0]"
启明科技股份有限公司000155,9.13257532603323e+017,0,0,国家级,,1,3,565,21360,"(17855.0, 21364.0]"
金鼎环保有限公司000156,9.1376184723e+017,0,0,市级,7,1,1,6767,26820,"(24660.0, 27972.0]"
华信装备集团有限公司000157,9.1334835642087e+017,0,1,,4,1,,343434,4710,"(3780.0, 7370.0]"
华信电子集团有限公司000158,9.13447012045e+017,1,,,1,6,1,6767,3120,"(49.999, 3780.0]"
汇通贸易有限责任公司000159,9.131667e+017,1,1,,6,3,4,-2323432,11030,"(10954.0, 14480.0]"
华泰智能股份有限公司000160,9.1359027716701450e+017,0,1,国家级,7,4,4,676767,27830,"(24660.0, 27972.0]"
星河建设集团有限公司000161,9.137721753540e+017,0,1,,4,6,2,565656,22910,"(21364.0, 24660.0]"
金鼎物流股份有限公司000162,9.1308801994e+017,0,1,市级,7,1,4,676767,20420,"(17855.0, 21364.0]"
天成纺织有限公司000163,9.13305e+017,1,1,市级,7,5,5,-2323432,26960,"(24660.0, 27972.0]"
永泰医药有限公司000164,9.1337351609e+017,0,1,省级,2,7,6,-2323432,10460,"(7370.0, 10954.0]"
博雅智能集团有限公司000165,9.13699e+017,1,1,省级,5,5,7,-3434545,20870,"(17855.0, 21364.0]"
启明机械有限责任公司000166,9.138333945228851e+017,1,1,市级,3,,5,5656,30700,"(27972.0, 31471.0]"
永泰电子集团有限公司000167,9.13420438e+017,0,1,省级,,,,5656,2360,"(49.999, 3780.0]"
鼎盛化工股份有限公司000168,9.1358004397359893e+017,0,0,国家级,2,7,3,6767,1970,"(49.999, 3780.0]"
博雅电子有限公司000169,9.137202590e+017,1,,市级,6,,3,6767,5370,"(3780.0, 7370.0]"
天成能源集团有限公司000170,9.13555439878015e+017,1,0,市级,,5,5,343434,3810,"(3780.0, 7370.0]"
启明信息股份有限公司000171,9.13043581128e+017,0,0,省级,4,6,5,5656,15400,"(14480.0, 17855.0]"
汇通网络有限公司000172,9.13501102481e+017,0,1,县级,,5,6,-2323432,26530,"(24660.0, 27972.0]"
星河材料有限责任公司000173,9.131449147660e+017,1,0,县级,4,,6,565,31010,"(27972.0, 31471.0]"
天成建设集团有限公司000174,9.13009e+017,1,0,市级,,6,7,6767,26580,"(24660.0, 27972.0]"
星河生物股份有限公司000175,9.13814141397552e+017,0,0,市级,2,5,,-3434545,27530,"(24660.0, 27972.0]"
盛世食品集团有限公司000176,9.1353e+017,0,1,,5,6,5,-3434545,33130,"(31471.0, 35000.0]"
汇通电子集团有限公司000177,9.133411080996e+017,0,1,县级,4,3,4,6767,7240,"(3780.0, 7370.0]"
启明信息有限公司000178,9.1358039282e+017,1,0,县级,3,7,7,-2323432,19080,"(17855.0, 21364.0]"
永泰信息有限责任公司000179,9.1377005184e+017,1,0,县级,2,,3,343434,27430,"(24660.0, 27972.0]"
联创装备有限公司000180,9.132723184322e+017,0,0,县级,5,2,3,343434,14180,"(10954.0, 14480.0]"
金鼎能源有限公司000181,9.139922e+017,0,,市级,4,4,2,5656,16880,"(14480.0, 17855.0]"
远航材料集团有限公司000182,9.13977236929e+017,0,1,市级,5,,6,343434,33690,"(31471.0, 35000.0]"
中原网络有限公司000183,9.137990e+017,,0,国家级,2,,2,5656,20700,"(17855.0, 21364.0]"
联创化工有限责任公司000184,9.1391624731498e+017,1,0,国家级,5,,5,343434,32910,"(31471.0, 35000.0]"
华信网络股份有限公司000185,9.13944869594636e+017,1,1,市级,,6,7,5656,14880,"(14480.0, 17855.0]"
博雅物流集团有限公司000186,9.136589026012e+017,1,,市级,,7,6,343434,32120,"(31471.0, 35000.0]"
远航环保集团有限公司000187,9.13770384309883e+017,0,1,国家级,,4,4,343434,21390,"(21364.0, 24660.0]"
金鼎材料有限公司000188,9.134895543937e+017,1,1,国家级,3,3,4,565,21250,"(17855.0, 21364.0]"
瑞丰纺织股份有限公司000189,9.1373577907141e+017,1,0,省级,3,7,3,5656,33350,"(31471.0, 35000.0]"
鼎盛科技有限公司000190,9.132755394237e+017,0,0,省级,3,1,3,676767,3850,"(3780.0, 7370.0]"
联创建设有限公司000191,9.13595794728e+017,1,,县级,7,2,1,-2323432,27730,"(24660.0, 27972.0]"
启明纺织有限责任公司000192,9.130036915594284e+017,0,1,县级,5,7,2,5656,4980,"(3780.0, 7370.0]"
创元能源有限公司000193,9.134386632270267e+017,0,1,市级,6,3,3,-2323432,23450,"(21364.0, 24660.0]"
华信纺织有限责任公司000194,9.13558845e+017,0,1,省级,,,7,6767,34410,"(31471.0, 35000.0]"
汇通化工有限责任公司000195,9.13225699611e+017,0,1,市级,7,3,4,5656,18350,"(17855.0, 21364.0]"
华泰食品集团有限公司000196,9.130234e+017,0,1,国家级,3,7,3,565656,21380,"(21364.0, 24660.0]"
瑞丰网络有限公司000197,9.13643347228200e+017,1,1,县级,,7,7,565,4300,"(3780.0, 7370.0]"
中原信息有限责任公司000198,9.137831745e+017,1,,省级,5,6,5,565656,25890,"(24660.0, 27972.0]"
中原机械集团有限公司000199,9.1308536866326634e+017,0,0,市级,,4,4,565,31420,"(27972.0, 31471.0]"
华泰电子股份有限公司000200,9.1350208e+017,0,0,省级,4,1,,-2323432,18700,"(17855.0, 21364.0]"
联创贸易股份有限公司000201,9.130512046187234e+017,1,0,省级,,1,3,565656,32230,"(31471.0, 35000.0]"
永泰装备股份有限公司000202,9.13452088147435e+017,0,0,省级,2,1,6,-3434545,21390,"(21364.0, 24660.0]"
星河装备集团有限公司000203,9.131327195e+017,,0,,1,3,4,676767,410,"(49.999, 3780.0]"
永泰建设股份有限公司000204,9.132407784e+017,1,0,市级,3,7,3,565,18010,"(17855.0, 21364.0]"
远航电子有限责任公司000205,9.13086209593e+017,1,1,县级,7,7,1,6767,18450,"(17855.0, 21364.0]"
汇通环保集团有限公司000206,9.130317e+017,,1,,5,4,,676767,27030,"(24660.0, 27972.0]"
汇通纺织有限公司000207,9.138650948e+017,0,,省级,5,1,2,343434,34130,"(31471.0, 35000.0]"
博雅生物股份有限公司000208,9.131957612286852e+017,1,1,市级,1,5,2,5656,10230,"(7370.0, 10954.0]"
永泰化工有限责任公司000209,9.137760049e+017,0,,省级,7,7,5,-3434545,22390,"(21364.0, 24660.0]"
创元物流有限公司000210,9.13522459334e+017,,1,省级,1,6,5,-3434545,23420,"(21364.0, 24660.0]"
华信机械有限公司000211,9.139610556613906e+017,0,0,省级,7,4,6,676767,33610,"(31471.0, 35000.0]"
启明材料集团有限公司000212,9.1346225179e+017,0,,县级,,6,4,6767,23610,"(21364.0, 24660.0]"
嘉禾信息集团有限公司000213,9.1314659e+017,0,1,市级,,5,4,-3434545,8080,"(7370.0, 10954.0]"
华泰网络股份有限公司000214,9.1333e+017,1,0,国家级,5,7,3,6767,32930,"(31471.0, 35000.0]"
华泰装备有限公司000215,9.133833884e+017,1,0,国家级,7,,6,-2323432,12540,"(10954.0, 14480.0]"
华泰建设有限公司000216,9.1345104636e+017,0,1,国家级,3,3,6,565656,2220,"(49.999, 3780.0]"
鼎盛智能有限公司000217,9.135543840e+017,1,0,市级,5,,5,-3434545,20110,"(17855.0, 21364.0]"
宏达食品集团有限公司000218,9.1326495782329e+017,0,1,省级,4,1,5,6767,25130,"(24660.0, 27972.0]"
华信智能有限责任公司000219,9.130566e+017,1,1,,6,2,5,6767,29510,"(27972.0, 31471.0]"
宏达能源有限公司000220,9.131728975e+017,0,1,省级,1,5,5,-2323432,9500,"(7370.0, 10954.0]"
永泰医药有限公司000221,9.137975e+017,1,1,国家级,4,1,4,5656,27540,"(24660.0, 27972.0]"
星河信息有限公司000222,9.13703886086e+017,0,1,市级,6,5,5,565,21560,"(21364.0, 24660.0]"
华泰纺织有限公司000223,9.138129826657027e+017,0,0,省级,4,3,1,343434,5870,"(3780.0, 7370.0]"
启明智能股份有限公司000224,9.136025922220e+017,1,1,,,4,1,6767,15780,"(14480.0, 17855.0]"
嘉禾建设股份有限公司000225,9.1339776e+017,,0,市级,,7,4,676767,20470,"(17855.0, 21364.0]"
远航科技有限公司000226,9.1316e+017,0,1,省级,1,1,,-3434545,1370,"(49.999, 3780.0]"
中原生物有限公司000227,9.13721458e+017,1,0,国家级,,3,4,343434,31110,"(27972.0, 31471.0]"
盛世电子有限责任公司000228,9.139978e+017,1,0,省级,4,5,6,676767,24980,"(24660.0, 27972.0]"
中原食品有限公司000229,9.135830344e+017,0,1,国家级,,4,1,-3434545,8540,"(7370.0, 10954.0]"
盛世装备股份有限公司000230,9.1302727857608495e+017,0,1,,4,5,7,6767,13580,"(10954.0, 14480.0]"
鼎盛智能有限公司000231,9.1345046173574384e+017,0,0,国家级,3,3,6,-2323432,6840,"(3780.0, 7370.0]"
启明机械有限责任公司000232,9.131823e+017,0,,国家级,7,5,3,343434,30050,"(27972.0, 31471.0]"
金鼎机械集团有限公司000233,9.133344857e+017,0,0,国家级,3,,7,343434,12840,"(10954.0, 14480.0]"
远航能源集团有限公司000234,9.13495e+017,,0,,2,5,2,-2323432,32980,"(31471.0, 35000.0]"
华泰贸易有限责任公司000235,9.133817921e+017,,1,县级,1,2,5,676767,28310,"(27972.0, 31471.0]"
盛世科技股份有限公司000236,9.13017157724e+017,1,0,县级,2,5,3,343434,28700,"(27972.0, 31471.0]"
中原能源集团有限公司000237,9.132761539669e+017,1,0,国家级,3,1,5,565656,24230,"(21364.0, 24660.0]"
远航化工有限公司000238,9.1319657013290e+017,0,1,县级,1,4,1,565656,7260,"(3780.0, 7370.0]"
中原贸易有限公司000239,9.1309862405800e+017,1,1,省级,2,3,7,5656,12520,"(10954.0, 14480.0]"
博雅装备集团有限公司000240,9.1386562e+017,1,0,国家级,6,4,4,6767,27180,"(24660.0, 27972.0]"
中原纺织股份有限公司000241,9.1327868765326e+017,0,0,市级,6,6,,-3434545,26350,"(24660.0, 27972.0]"
汇通网络有限责任公司000242,9.13818913718e+017,1,1,国家级,1,5,,565656,19770,"(17855.0, 21364.0]"
星河机械有限责任公司000243,9.1379e+017,0,1,国家级,5,4,7,343434,6910,"(3780.0, 7370.0]"
